Timestamp,Power (kW),Temp (C°)
1/1/2010 1:15,165.1,10.6
1/1/2010 1:30,151.6,10.6
1/1/2010 1:45,146.9,10.6
1/1/2010 2:00,153.7,10.6
1/1/2010 2:15,153.8,10.6
1/1/2010 2:30,159.0,10.6
1/1/2010 2:45,157.7,10.6
1/1/2010 3:00,163.2,10.6
1/1/2010 3:15,151.7,10.0
1/1/2010 3:30,148.7,10.0
1/1/2010 3:45,155.1,10.0
1/1/2010 4:00,161.5,10.0
1/1/2010 4:15,161.5,10.0
1/1/2010 4:30,162.0,10.0
1/1/2010 4:45,166.0,10.0
1/1/2010 5:00,159.0,10.0
1/1/2010 5:15,158.6,10.0
1/1/2010 5:30,152.1,10.0
1/1/2010 5:45,162.0,10.0
1/1/2010 6:00,164.4,10.0
1/1/2010 6:15,163.6,9.4
1/1/2010 6:30,168.8,9.4
1/1/2010 6:45,163.7,9.4
1/1/2010 7:00,156.2,9.4
1/1/2010 7:15,168.4,10.0
1/1/2010 7:30,165.1,10.0
1/1/2010 7:45,172.5,10.0
1/1/2010 8:00,177.3,10.0
1/1/2010 8:15,266.2,10.0
1/1/2010 8:30,255.6,10.0
1/1/2010 8:45,257.3,10.0
1/1/2010 9:00,255.0,10.0
1/1/2010 9:15,267.3,10.6
1/1/2010 9:30,260.8,10.6
1/1/2010 9:45,260.4,10.6
1/1/2010 10:00,258.2,10.6
1/1/2010 10:15,258.4,11.7
1/1/2010 10:30,259.4,11.7
1/1/2010 10:45,261.9,11.7
1/1/2010 11:00,264.1,11.7
1/1/2010 11:15,274.2,13.3
1/1/2010 11:30,267.1,13.3
1/1/2010 11:45,271.1,13.3
1/1/2010 12:00,275.7,13.3
1/1/2010 12:15,268.4,13.9
1/1/2010 12:30,272.3,13.9
1/1/2010 12:45,269.2,13.9
1/1/2010 13:00,274.1,13.9
1/1/2010 13:15,279.2,13.3
1/1/2010 13:30,276.1,13.3
1/1/2010 13:45,275.5,13.3
1/1/2010 14:00,277.9,13.3
1/1/2010 14:15,277.1,15.0
1/1/2010 14:30,282.1,15.0
1/1/2010 14:45,277.4,15.0
1/1/2010 15:00,275.6,15.0
1/1/2010 15:15,275.8,16.7
1/1/2010 15:30,278.4,16.7
1/1/2010 15:45,278.8,16.7
1/1/2010 16:00,274.2,16.7
1/1/2010 16:15,281.4,16.1
1/1/2010 16:30,281.8,16.1
1/1/2010 16:45,277.4,16.1
1/1/2010 17:00,297.6,16.1
1/1/2010 17:15,324.1,15.6
1/1/2010 17:30,316.5,15.6
1/1/2010 17:45,317.4,15.6
1/1/2010 18:00,318.3,15.6
1/1/2010 18:15,313.0,14.4
1/1/2010 18:30,333.4,14.4
1/1/2010 18:45,348.3,14.4
1/1/2010 19:00,311.2,14.4
1/1/2010 19:15,343.5,14.4
1/1/2010 19:30,349.6,14.4
1/1/2010 19:45,311.6,14.4
1/1/2010 20:00,329.3,14.4
1/1/2010 20:15,347.1,13.3
1/1/2010 20:30,310.0,13.3
1/1/2010 20:45,331.6,13.3
1/1/2010 21:00,313.7,13.3
1/1/2010 21:15,288.9,13.3
1/1/2010 21:30,327.4,13.3
1/1/2010 21:45,299.1,13.3
1/1/2010 22:00,288.0,13.3
1/1/2010 22:15,314.1,12.8
1/1/2010 22:30,308.8,12.8
1/1/2010 22:45,286.8,12.8
1/1/2010 23:00,288.2,12.8
1/1/2010 23:15,199.1,13.3
1/1/2010 23:30,197.0,13.3
1/1/2010 23:45,165.2,13.3
1/2/2010 0:00,163.1,13.3
1/2/2010 0:15,154.4,10.6
1/2/2010 0:30,152.2,10.6
1/2/2010 0:45,158.7,10.6
1/2/2010 1:00,163.8,10.6
1/2/2010 1:15,158.7,10.0
1/2/2010 1:30,152.3,10.0
1/2/2010 1:45,155.2,10.0
1/2/2010 2:00,155.9,10.0
1/2/2010 2:15,152.1,10.0
1/2/2010 2:30,154.1,10.0
1/2/2010 2:45,155.9,10.0
1/2/2010 3:00,156.8,10.0
1/2/2010 3:15,153.9,9.4
1/2/2010 3:30,152.2,9.4
1/2/2010 3:45,165.6,9.4
1/2/2010 4:00,168.8,9.4
1/2/2010 4:15,160.5,8.9
1/2/2010 4:30,160.6,8.9
1/2/2010 4:45,161.1,8.9
1/2/2010 5:00,160.7,8.9
1/2/2010 5:15,157.0,10.0
1/2/2010 5:30,161.7,10.0
1/2/2010 5:45,158.4,10.0
1/2/2010 6:00,165.8,10.0
1/2/2010 6:15,166.4,10.6
1/2/2010 6:30,168.0,10.6
1/2/2010 6:45,159.5,10.6
1/2/2010 7:00,164.2,10.6
1/2/2010 7:15,170.3,10.0
1/2/2010 7:30,178.8,10.0
1/2/2010 7:45,181.5,10.0
1/2/2010 8:00,182.4,10.0
1/2/2010 8:15,270.9,11.1
1/2/2010 8:30,269.4,11.1
1/2/2010 8:45,273.1,11.1
1/2/2010 9:00,268.3,11.1
1/2/2010 9:15,277.7,11.7
1/2/2010 9:30,269.8,11.7
1/2/2010 9:45,268.0,11.7
1/2/2010 10:00,258.3,11.7
1/2/2010 10:15,260.7,12.2
1/2/2010 10:30,257.2,12.2
1/2/2010 10:45,256.3,12.2
1/2/2010 11:00,255.0,12.2
1/2/2010 11:15,270.9,13.3
1/2/2010 11:30,269.6,13.3
1/2/2010 11:45,307.6,13.3
1/2/2010 12:00,283.5,13.3
1/2/2010 12:15,266.1,13.9
1/2/2010 12:30,295.9,13.9
1/2/2010 12:45,278.5,13.9
1/2/2010 13:00,269.5,13.9
1/2/2010 13:15,297.5,13.3
1/2/2010 13:30,294.4,13.3
1/2/2010 13:45,300.7,13.3
1/2/2010 14:00,287.5,13.3
1/2/2010 14:15,288.4,13.3
1/2/2010 14:30,288.4,13.3
1/2/2010 14:45,283.9,13.3
1/2/2010 15:00,310.4,13.3
1/2/2010 15:15,285.3,13.3
1/2/2010 15:30,288.9,13.3
1/2/2010 15:45,277.1,13.3
1/2/2010 16:00,280.3,13.3
1/2/2010 16:15,271.8,13.3
1/2/2010 16:30,301.8,13.3
1/2/2010 16:45,282.2,13.3
1/2/2010 17:00,285.0,13.3
1/2/2010 17:15,326.2,12.2
1/2/2010 17:30,311.7,12.2
1/2/2010 17:45,313.4,12.2
1/2/2010 18:00,305.0,12.2
1/2/2010 18:15,300.7,12.8
1/2/2010 18:30,303.2,12.8
1/2/2010 18:45,299.8,12.8
1/2/2010 19:00,307.7,12.8
1/2/2010 19:15,315.8,12.2
1/2/2010 19:30,304.1,12.2
1/2/2010 19:45,305.6,12.2
1/2/2010 20:00,290.9,12.2
1/2/2010 20:15,289.4,11.7
1/2/2010 20:30,285.2,11.7
1/2/2010 20:45,276.6,11.7
1/2/2010 21:00,282.0,11.7
1/2/2010 21:15,291.6,9.4
1/2/2010 21:30,286.9,9.4
1/2/2010 21:45,290.1,9.4
1/2/2010 22:00,285.1,9.4
1/2/2010 22:15,285.7,8.9
1/2/2010 22:30,286.6,8.9
1/2/2010 22:45,281.9,8.9
1/2/2010 23:00,281.3,8.9
1/2/2010 23:15,190.3,8.9
1/2/2010 23:30,194.8,8.9
1/2/2010 23:45,163.7,8.9
1/3/2010 0:00,159.3,8.9
1/3/2010 0:15,158.4,7.8
1/3/2010 0:30,152.9,7.8
1/3/2010 0:45,159.6,7.8
1/3/2010 1:00,161.6,7.8
1/3/2010 1:15,159.9,7.2
1/3/2010 1:30,149.8,7.2
1/3/2010 1:45,148.7,7.2
1/3/2010 2:00,153.2,7.2
1/3/2010 2:15,150.6,6.7
1/3/2010 2:30,151.6,6.7
1/3/2010 2:45,160.6,6.7
1/3/2010 3:00,165.7,6.7
1/3/2010 3:15,154.9,6.1
1/3/2010 3:30,149.0,6.1
1/3/2010 3:45,163.5,6.1
1/3/2010 4:00,161.2,6.1
1/3/2010 4:15,158.6,5.6
1/3/2010 4:30,154.9,5.6
1/3/2010 4:45,162.0,5.6
1/3/2010 5:00,162.7,5.6
1/3/2010 5:15,160.3,5.0
1/3/2010 5:30,162.3,5.0
1/3/2010 5:45,168.3,5.0
1/3/2010 6:00,165.3,5.0
1/3/2010 6:15,166.8,5.0
1/3/2010 6:30,166.7,5.0
1/3/2010 6:45,172.6,5.0
1/3/2010 7:00,171.1,5.0
1/3/2010 7:15,175.5,3.9
1/3/2010 7:30,185.4,3.9
1/3/2010 7:45,188.8,3.9
1/3/2010 8:00,186.6,3.9
1/3/2010 8:15,267.0,3.9
1/3/2010 8:30,267.3,3.9
1/3/2010 8:45,262.6,3.9
1/3/2010 9:00,258.2,3.9
1/3/2010 9:15,262.0,6.1
1/3/2010 9:30,259.4,6.1
1/3/2010 9:45,256.6,6.1
1/3/2010 10:00,258.2,6.1
1/3/2010 10:15,262.8,7.8
1/3/2010 10:30,264.7,7.8
1/3/2010 10:45,262.9,7.8
1/3/2010 11:00,263.8,7.8
1/3/2010 11:15,270.7,11.7
1/3/2010 11:30,264.2,11.7
1/3/2010 11:45,269.3,11.7
1/3/2010 12:00,265.9,11.7
1/3/2010 12:15,265.7,11.7
1/3/2010 12:30,261.7,11.7
1/3/2010 12:45,270.9,11.7
1/3/2010 13:00,280.0,11.7
1/3/2010 13:15,281.0,13.3
1/3/2010 13:30,278.9,13.3
1/3/2010 13:45,276.5,13.3
1/3/2010 14:00,276.0,13.3
1/3/2010 14:15,273.1,13.9
1/3/2010 14:30,270.2,13.9
1/3/2010 14:45,276.3,13.9
1/3/2010 15:00,265.0,13.9
1/3/2010 15:15,266.2,14.4
1/3/2010 15:30,267.3,14.4
1/3/2010 15:45,275.4,14.4
1/3/2010 16:00,273.0,14.4
1/3/2010 16:15,273.0,13.9
1/3/2010 16:30,272.5,13.9
1/3/2010 16:45,266.3,13.9
1/3/2010 17:00,284.0,13.9
1/3/2010 17:15,315.0,11.7
1/3/2010 17:30,313.9,11.7
1/3/2010 17:45,314.4,11.7
1/3/2010 18:00,312.9,11.7
1/3/2010 18:15,310.0,10.6
1/3/2010 18:30,310.1,10.6
1/3/2010 18:45,310.1,10.6
1/3/2010 19:00,317.6,10.6
1/3/2010 19:15,312.9,10.6
1/3/2010 19:30,308.0,10.6
1/3/2010 19:45,306.9,10.6
1/3/2010 20:00,305.5,10.6
1/3/2010 20:15,297.2,9.4
1/3/2010 20:30,293.6,9.4
1/3/2010 20:45,300.0,9.4
1/3/2010 21:00,292.8,9.4
1/3/2010 21:15,288.1,8.9
1/3/2010 21:30,285.8,8.9
1/3/2010 21:45,286.9,8.9
1/3/2010 22:00,283.8,8.9
1/3/2010 22:15,193.6,8.9
1/3/2010 22:30,191.7,8.9
1/3/2010 22:45,158.9,8.9
1/3/2010 23:00,169.1,8.9
1/3/2010 23:15,161.4,8.9
1/3/2010 23:30,166.9,8.9
1/3/2010 23:45,165.0,8.9
1/4/2010 0:00,164.1,8.9
1/4/2010 0:15,168.5,8.3
1/4/2010 0:30,155.4,8.3
1/4/2010 0:45,166.7,8.3
1/4/2010 1:00,161.3,8.3
1/4/2010 1:15,163.1,8.3
1/4/2010 1:30,152.5,8.3
1/4/2010 1:45,147.0,8.3
1/4/2010 2:00,154.6,8.3
1/4/2010 2:15,161.0,7.8
1/4/2010 2:30,158.9,7.8
1/4/2010 2:45,159.3,7.8
1/4/2010 3:00,165.4,7.8
1/4/2010 3:15,160.9,6.7
1/4/2010 3:30,151.5,6.7
1/4/2010 3:45,157.2,6.7
1/4/2010 4:00,166.1,6.7
1/4/2010 4:15,161.9,6.7
1/4/2010 4:30,161.4,6.7
1/4/2010 4:45,167.9,6.7
1/4/2010 5:00,162.2,6.7
1/4/2010 5:15,166.7,6.7
1/4/2010 5:30,163.5,6.7
1/4/2010 5:45,164.0,6.7
1/4/2010 6:00,170.2,6.7
1/4/2010 6:15,166.3,7.2
1/4/2010 6:30,177.2,7.2
1/4/2010 6:45,174.5,7.2
1/4/2010 7:00,168.1,7.2
1/4/2010 7:15,189.4,7.2
1/4/2010 7:30,188.9,7.2
1/4/2010 7:45,176.8,7.2
1/4/2010 8:00,181.7,7.2
1/4/2010 8:15,268.0,6.7
1/4/2010 8:30,261.1,6.7
1/4/2010 8:45,258.5,6.7
1/4/2010 9:00,261.7,6.7
1/4/2010 9:15,264.2,7.8
1/4/2010 9:30,258.3,7.8
1/4/2010 9:45,266.4,7.8
1/4/2010 10:00,267.4,7.8
1/4/2010 10:15,265.7,8.3
1/4/2010 10:30,265.2,8.3
1/4/2010 10:45,264.2,8.3
1/4/2010 11:00,266.3,8.3
1/4/2010 11:15,262.8,8.3
1/4/2010 11:30,262.4,8.3
1/4/2010 11:45,265.5,8.3
1/4/2010 12:00,270.7,8.3
1/4/2010 12:15,261.6,10.0
1/4/2010 12:30,272.9,10.0
1/4/2010 12:45,275.8,10.0
1/4/2010 13:00,271.0,10.0
1/4/2010 13:15,276.3,11.1
1/4/2010 13:30,274.0,11.1
1/4/2010 13:45,276.1,11.1
1/4/2010 14:00,278.1,11.1
1/4/2010 14:15,274.5,12.2
1/4/2010 14:30,276.6,12.2
1/4/2010 14:45,271.6,12.2
